243,actions,get,get,"acquire,gets,getting,got,obtain,receive,received,receives,receiving"
244,actions,get_in_car,get in car,"enter,into,open door"
245,actions,get_off,get off,"abandon,descend,dismount,off"
246,actions,give_1,give,"gave,gives,giving,offer,present,provide"
247,actions,give_2,give,"deliver,giving,offer,present,provide,supply"
248,actions,give_money,give money,"award,bequeath,donate,provide"
249,actions,give_present,give present,"award,birthday,celebrate,gift,present"
250,actions,give_thanks,give thanks,"believe,praise,pray,worship"
251,actions,glue_2,glue,"arts and crafts,attach,paste"
252,actions,glue_3,glue,"arts and crafts,paste"
253,actions,go,go,"depart,goes,going,move,went"
254,actions,go_round_spiral,go round,"spin,spiral,twirl"
255,actions,grab,grab,"grasp,grip,reach,snatch"
256,actions,grow_1,grow,"expand,grew,increase"
257,actions,grow_up,grow up,"age,develop,developed,grown up,mature,matured"
258,actions,guess,guess,"estimate,question,uncertain"
259,actions,handcuff,handcuff,"arrest,handcuffs,secure"
260,actions,hang,hang,"affix,attach,hung"
261,actions,hang_up,hang up,"cell phone,disconnect,end,mobile phone,telephone"
262,actions/cleaning,hang_up_clothespins,hang up,"clothespins,hang,hung,laundry,line"
263,actions/cleaning,hang_up_hanger,hang up,hanger
264,actions,harvest,harvest,"collect,corn,farmer,gather,pick"
265,actions,have,have,"had,has,having,hold,own,possess"
266,actions,help,help,"aid,assist,rescue,support"
267,communication,help2,Help!,"aid,call for help,emergency,fire"
268,health,help_get_in_bed,help get in bed,
269,health,help_get_in_chair,help get in chair,
270,actions,hide,hide,",conceal,cover,hid"
271,actions,hike,hike,"climb,hiking,trek,walk"
272,actions,hire,hire,"appoint,employ,greet,welcome"
273,actions,hit,hit,"beat,box,punch,smash,strike"
274,descriptives,hit_smash,hit,"best,good,great,I did my best.,smash"
275,communication/Greetings_Wrap_ups,hi_hello,Hi,"hello,hey,wave"
276,communication/Greetings_Wrap_ups,hi_hello2,Hi,"hello,wave"
277,actions,hold,hold,"clasp,clutch,grasp,have,held,holding"
279,actions,hold_hands,hold hands,grasp
280,actions,hop,hop,"frog,jump,leap"
281,actions,hug1,hug,"cuddle,embrace,hold,squeeze"
282,actions,hug2,hug,"cuddle,embrace,hold,squeeze"
283,actions,hug_and_kiss,hug and kiss,
284,actions,hunt,hunt,"archer,arrow,bow,hunted,hunting,hunts,shoot"
285,actions,hurry,hurry,"dash,rush,scurry"
286,actions,hurt1,hurt,"fracture,injured,injury,sling"
287,actions,hurt2,hurt,"ache,bandage,injury,ouch,ow,pain,sore,sting"
288,actions,identify_bird,identify,"recognize,see,spot"
289,actions,imagine,imagine,"dream up,picture,think"
290,actions,include,include,"add,combine,contain,into,join,joined,joining,joins"
291,actions,invent,invent,"create,inventor,make"
292,actions,is,is,"am,be,been,being,to be"
293,actions,is_not,is not,"am not,isn't,not to be"
296,actions,juggle,juggle,"juggler,perform"
297,actions,jump,jump,"bound,hop,jumped,jumping,jumps,leap,skip"
298,actions,jump_rope2,jump rope,
300,actions,kick,kick,"boot,punt"
301,actions,kidnap,kidnap,"abduct,capture,hostage"
302,actions,kill,kill,"destroy,exterminate,gun,murder,shoot"
303,actions,kiss,kiss,"embrace,pucker,smooch"
304,actions,kiss2,kiss,"embrace,pucker,smooch"
305,actions,knit,knit,",crochet,stitch"
306,actions,knock,knock,"bang,hit,tap"
307,actions,knock_down_blocks,knock down blocks,"demolish,fall,fell,level"
308,actions,know,know,"knew,knowing,known,knows,learn,understand"
309,actions,land_verb,land,"arrive,settle,settled"
310,actions,land_ship,land,"anchor,arrive,dock,ship"
312,actions,laugh,laugh,"chuckle,crack up,funny,giggle,laughed,laughing,laughs"
313,actions,laugh2,laugh,"chuckle,funny,giggle"
314,actions,lay_out,lay out,"relax,suntan,tan"
315,actions,lead,lead,"direct,escort,guide,led"
